INSNO;INSDP;INSBO;INSID;INLIE;INSAR;INSLO;INVSN;INVSC;INSQS;INSUS;INVL1
002605;AQB;"A3 01 A001";INV_LOT;"Inventaire test lot";009529;"22SDC264682 4,6";88888888;0;88888888;M3;N
002605;AQB;"A3 01 A001";INV_LOT;"Inventaire test lot";009529;142312;;0;0;M3;N
002605;AQB;"A3 01 A001";INV_LOT;"Inventaire test lot";009529;20AVE150126;;0;0;M3;N
002605;AQB;"A3 01 A001";INV_LOT;"Inventaire test lot";009529;20AE145108;;0;0;M3;N
002605;AQB;"A3 01 A001";INV_LOT;"Inventaire test lot";009528;"21AVE149677 3,6";;0;0;M3;N
002605;AQB;"A3 01 A001";INV_LOT;"Inventaire test lot";009528;"22AVE165277 3,0";;0;0;M3;N
002605;AQB;"A3 01 A001";INV_LOT;"Inventaire test lot";009528;19AVE-145395;;0;0;M3;N
002605;AQB;"A3 01 A001";INV_LOT;"Inventaire test lot";009528;1701FINV0401;;0;0;M3;N
002605;AQB;"A3 01 A001";INV_LOT;"Inventaire test lot";009528;20AVE154797;;0;0;M3;N
002605;AQB;"A3 01 A001";INV_LOT;"Inventaire test lot";009529;"23AVE169757 4,4";;0;0;M3;N
002605;AQB;"A3 01 A001";INV_LOT;"Inventaire test lot";009528;19AVE-147923;;0;0;M3;N
002605;AQB;"A3 01 A001";INV_LOT;"Inventaire test lot";009528;20AVE15140;;0;0;M3;N
002605;AQB;"A3 01 A001";INV_LOT;"Inventaire test lot";009529;"22SDC264683 4,6";;0;0;M3;N
002605;AQB;"A3 01 A001";INV_LOT;"Inventaire test lot";009529;224312;;0;0;M3;N
002605;AQB;"A3 01 A001";INV_LOT;"Inventaire test lot";009529;138372;;0;0;M3;N
002605;AQB;"A3 01 A001";INV_LOT;"Inventaire test lot";009529;"21AVE161140 5,0";;0;0;M3;N
002605;AQB;"A3 01 A001";INV_LOT;"Inventaire test lot";009529;"19AVE150119 4,6";;0;0;M3;N
002605;AQB;"A3 01 A001";INV_LOT;"Inventaire test lot";009528;"PAS DE REF";;0;0;M3;N
002605;AQB;"A3 01 A001";INV_LOT;"Inventaire test lot";009528;"21AVE157236 3,8";;0;0;M3;N
002605;AQB;"A3 01 A001";INV_LOT;"Inventaire test lot";009529;"224307  4,1";;0;0;M3;N
002605;AQB;"A3 01 A001";INV_LOT;"Inventaire test lot";009529;"22SDC264684 4,6";;0;0;M3;N
002605;AQB;"A3 01 A001";INV_LOT;"Inventaire test lot";009528;"23SDC264403 4,5";;0;0;M3;N
002605;AQB;"A3 01 A001";INV_LOT;"Inventaire test lot";009528;"23AVE166576 3,0";;0;0;M3;N
002605;AQB;"A3 01 A001";INV_LOT;"Inventaire test lot";009529;141125;;0;0;M3;N
002605;AQB;"A3 01 A001";INV_LOT;"Inventaire test lot";009528;"23AVE166542 3,5";;0;0;M3;N
002605;AQB;"A3 01 A001";INV_LOT;"Inventaire test lot";009528;"20AE 154785";;0;0;M3;N
002605;AQB;"A3 01 A001";INV_LOT;"Inventaire test lot";009529;224308;;0;0;M3;N
002605;AQB;"A3 01 A001";INV_LOT;"Inventaire test lot";009528;1701FINV04012;;0;0;M3;N
002605;AQB;"A3 01 A001";INV_LOT;"Inventaire test lot";009529;"19AVE 148864";;0;0;M3;N
002605;AQB;"A3 01 A001";INV_LOT;"Inventaire test lot";009529;224307;;0;0;M3;N
002605;AQB;"A3 01 A001";INV_LOT;"Inventaire test lot";009529;224306;;0;0;M3;N
002605;AQB;"A3 01 A001";INV_LOT;"Inventaire test lot";009529;"22SDC261383 4,7";;0;0;M3;N
002605;AQB;"A3 01 A001";INV_LOT;"Inventaire test lot";009538;"22SDC265801 4,0";;0;0;M3;N
002605;AQB;"A3 01 A001";INV_LOT;"Inventaire test lot";009538;"22SDC265014 6,1";;0;0;M3;N
