INVNO;INVDP;INVW1;INVID;INLIE;INVAR;HILOT;INVSN;INVSC;INVQS;INVSU;INVL1
002687;AQB;"E1 01";INV_LOT;"Inventaire test lot";010082;"mon LOT";24;;24;M3;N
002687;AQB;"E1 01";INV_LOT;"Inventaire test lot";AAA;"mon LOT";888;;888;nh;N
002687;AQB;"E1 01 A003";INV_LOT;"Inventaire test lot";010082;"86 A1";12;0;12;M3;N
002687;AQB;"E1 01 A003";INV_LOT;"Inventaire test lot";010082;289A;;0;0;M3;N
002687;AQB;"E1 01 A003";INV_LOT;"Inventaire test lot";010082;294A;;0;0;M3;N
002687;AQB;"E3 07 A005";INV_LOT;"Inventaire test lot";010080;"23SDC449AT2 6,1";;0;0;M3;N
002687;AQB;"E3 07 A005";INV_LOT;"Inventaire test lot";010080;"23SC1427AT1 6,2";;0;0;M3;N
002687;AQB;"E3 07 A005";INV_LOT;"Inventaire test lot";010080;24AN12275229-1B;;0;0;M3;N
002687;AQB;"E3 07 A005";INV_LOT;"Inventaire test lot";010080;"23SDC3652.2 7,1";;0;0;M3;N
002687;AQB;"E3 07 A005";INV_LOT;"Inventaire test lot";010080;1626/2;;0;0;M3;N
002687;AQB;"E3 07 A005";INV_LOT;"Inventaire test lot";010080;"20ANG2231BT2 5M";;0;0;M3;N
002687;AQB;"E3 07 A005";INV_LOT;"Inventaire test lot";010080;24AN30018/24-1B;;0;0;M3;N
002687;AQB;"E3 07 A005";INV_LOT;"Inventaire test lot";010080;"21SDC7525/2 T3";;0;0;M3;N
002687;AQB;"E3 07 A005";INV_LOT;"Inventaire test lot";010080;24AN93419/13-1B;;0;0;M3;N
002687;AQB;"E3 07 A005";INV_LOT;"Inventaire test lot";010080;"23SDC4895AT2 7M";;0;0;M3;N
002687;AQB;"E3 07 A005";INV_LOT;"Inventaire test lot";010080;"20ANG9732T2 6,4";;0;0;M3;N
002687;AQB;"E3 07 A005";INV_LOT;"Inventaire test lot";010080;"22SDC6044 1BT1";;0;0;M3;N
002687;AQB;"E3 07 A005";INV_LOT;"Inventaire test lot";010080;"21SDC2610/1B T1";;0;0;M3;N
002687;AQB;"E3 07 A005";INV_LOT;"Inventaire test lot";010080;"20ANG34631C 6,2";;0;0;M3;N
002687;AQB;"E3 07 A005";INV_LOT;"Inventaire test lot";010080;"210A T2";;0;0;M3;N
002687;AQB;"E3 07 A005";INV_LOT;"Inventaire test lot";010080;24AN30573/11-1A;;0;0;M3;N
002687;AQB;"E3 07 A005";INV_LOT;"Inventaire test lot";010080;"21SDC4554/1 T1";;0;0;M3;N
002687;AQB;"E3 07 A005";INV_LOT;"Inventaire test lot";010080;"20ANG2231BT1 5M";;0;0;M3;N
002687;AQB;"E3 07 A005";INV_LOT;"Inventaire test lot";010080;"22AN1573 1BT1";;0;0;M3;N
002687;AQB;"E3 07 A005";INV_LOT;"Inventaire test lot";010080;"1444/1 T2";;0;0;M3;N
002687;AQB;"E3 07 A005";INV_LOT;"Inventaire test lot";010080;"21SDC4554/1 T2";;0;0;M3;N
002687;AQB;"E3 07 A005";INV_LOT;"Inventaire test lot";010079;"20ANG 66 B";;0;0;M3;N
002687;AQB;"E3 07 A005";INV_LOT;"Inventaire test lot";010075;"1626/1 2T";;0;0;M3;N
002687;AQB;"E3 07 A005";INV_LOT;"Inventaire test lot";010076;"19FA13691 LG4,5";;0;0;M3;N
002687;AQB;"E3 07 A005";INV_LOT;"Inventaire test lot";010079;"4895 AT2 2,45M";;0;0;M3;N
002687;AQB;"E3 07 A005";INV_LOT;"Inventaire test lot";010079;"23SC4895BT2 4,6";;0;0;M3;N
002687;AQB;"E3 07 A005";INV_LOT;"Inventaire test lot";010079;22SDC60561BT2;;0;0;M3;N
002687;AQB;"E3 07 A005";INV_LOT;"Inventaire test lot";010076;"21AN75252T2 4,1";;0;0;M3;N
002687;AQB;"E3 07 A005";INV_LOT;"Inventaire test lot";010075;"3042/1 1T";;0;0;M3;N
002687;AQB;"E3 07 A005";INV_LOT;"Inventaire test lot";010079;"23SDC154BT1 3,9";;0;0;M3;N
002687;AQB;"E3 07 A005";INV_LOT;"Inventaire test lot";010075;"23SC5314AT2 4,1";;0;0;M3;N
002687;AQB;"E3 07 A005";INV_LOT;"Inventaire test lot";010076;249828-17;;0;0;M3;N
002687;AQB;"E3 07 A005";INV_LOT;"Inventaire test lot";010079;"23SC4895BT1 4,5";;0;0;M3;N
002687;AQB;"E3 07 A005";INV_LOT;"Inventaire test lot";010079;1626-1;;0;0;M3;N
002687;AQB;"E3 07 A005";INV_LOT;"Inventaire test lot";010075;"19FA13692 L5,95";;0;0;M3;N
002687;AQB;"E3 07 A005";INV_LOT;"Inventaire test lot";010075;"23SDC394AT1 6,3";;0;0;M3;N
