INVNO;INVDP;INVW1;INVID;INLIE;INVAR;HILOT;INVSN;INVSC;INVQS;INVSU;INVL1
002720;AQE;BP8;INV_GEN;"Inventaire stock";011583;;0;0;;UN;N
002720;AQE;C1;INV_GEN;"Inventaire stock";015860;;0;0;;UN;N
002720;AQE;C2;INV_GEN;"Inventaire stock";013378;;0;0;;UN;N
002720;AQE;C2;INV_GEN;"Inventaire stock";008994;;0;0;;UN;N
002720;AQE;C2;INV_GEN;"Inventaire stock";008988;;0;0;;UN;N
002720;AQE;C2;INV_GEN;"Inventaire stock";008755;;0;0;;UN;N
002720;AQE;C2;INV_GEN;"Inventaire stock";008993;;0;0;;UN;N
002720;AQE;C2;INV_GEN;"Inventaire stock";017025;;0;0;;UN;N
002720;AQE;C2;INV_GEN;"Inventaire stock";008938;;0;0;;UN;N
002720;AQE;C2;INV_GEN;"Inventaire stock";008904;;0;0;;UN;N
002720;AQE;C3;INV_GEN;"Inventaire stock";008885;;0;0;;UN;N
002720;AQE;C3;INV_GEN;"Inventaire stock";018029;;0;0;;UN;N
002720;AQE;C3;INV_GEN;"Inventaire stock";018036;;0;0;;UN;N
002720;AQE;C3;INV_GEN;"Inventaire stock";018030;;0;0;;UN;N
002720;AQE;C3;INV_GEN;"Inventaire stock";019157;;0;0;;UN;N
002720;AQE;C3;INV_GEN;"Inventaire stock";018035;;0;0;;UN;N
002720;AQE;C3;INV_GEN;"Inventaire stock";018032;;0;0;;UN;N
002720;AQE;C3;INV_GEN;"Inventaire stock";018034;;0;0;;UN;N
002720;AQE;C3;INV_GEN;"Inventaire stock";018028;;0;0;;UN;N
002720;AQE;C3;INV_GEN;"Inventaire stock";018033;;0;0;;UN;N
002720;AQE;C3;INV_GEN;"Inventaire stock";008862;;0;0;;UN;N
002720;AQE;C3;INV_GEN;"Inventaire stock";018031;;0;0;;UN;N
002720;AQE;C3;INV_GEN;"Inventaire stock";017021;;0;0;;UN;N
002720;AQE;C4;INV_GEN;"Inventaire stock";018019;;0;0;;UN;N
002720;AQE;C4;INV_GEN;"Inventaire stock";018026;;0;0;;UN;N
002720;AQE;C4;INV_GEN;"Inventaire stock";018025;;0;0;;UN;N
002720;AQE;C4;INV_GEN;"Inventaire stock";019158;;0;0;;UN;N
002720;AQE;C4;INV_GEN;"Inventaire stock";017628;;0;0;;UN;N
002720;AQE;C4;INV_GEN;"Inventaire stock";018021;;0;0;;UN;N
002720;AQE;C4;INV_GEN;"Inventaire stock";018014;;0;0;;UN;N
002720;AQE;C4;INV_GEN;"Inventaire stock";018018;;0;0;;UN;N
002720;AQE;C4;INV_GEN;"Inventaire stock";018017;;0;0;;UN;N
002720;AQE;C4;INV_GEN;"Inventaire stock";018024;;0;0;;UN;N
002720;AQE;C4;INV_GEN;"Inventaire stock";018016;;0;0;;UN;N
002720;AQE;C4;INV_GEN;"Inventaire stock";018022;;0;0;;UN;N
002720;AQE;C4;INV_GEN;"Inventaire stock";018015;;0;0;;UN;N
002720;AQE;C4;INV_GEN;"Inventaire stock";018023;;0;0;;UN;N
002720;AQE;C4;INV_GEN;"Inventaire stock";018020;;0;0;;UN;N
002720;AQE;C4;INV_GEN;"Inventaire stock";008937;;0;0;;UN;N
002720;AQE;C4;INV_GEN;"Inventaire stock";018027;;0;0;;UN;N
002720;AQE;C5;INV_GEN;"Inventaire stock";019012;;0;0;;UN;N
002720;AQE;C5;INV_GEN;"Inventaire stock";019174;;0;0;;UN;N
002720;AQE;"CUISINE - ZO";INV_GEN;"Inventaire stock";017024;;0;0;;UN;N
002720;AQE;"CUISINE - ZO";INV_GEN;"Inventaire stock";008757;;0;0;7777.778;UN;N
002720;AQE;"CUISINE GARA";INV_GEN;"Inventaire stock";019100;;0;0;66.66;UN;N
002720;AQE;"CUISINE PRES";INV_GEN;"Inventaire stock";016054;;0;0;2;UN;N
002720;AQE;"CUISINE PRES";INV_GEN;"Inventaire stock";016050;;0;0;;UN;N
002720;AQE;"CUISINE PRES";INV_GEN;"Inventaire stock";016205;;0;0;;UN;N
002720;AQE;"CUISINE PRES";INV_GEN;"Inventaire stock";016052;;0;0;;UN;N
002720;AQE;"CUISINE PRES";INV_GEN;"Inventaire stock";016051;;0;0;;UN;N
002720;AQE;"CUISINE PRES";INV_GEN;"Inventaire stock";008905;;0;0;;UN;N
002720;AQE;"CUISINE ZONE";INV_GEN;"Inventaire stock";017023;;0;0;;UN;N
002720;AQE;"CUISINE ZONE";INV_GEN;"Inventaire stock";017022;;0;0;;UN;N
002720;AQE;"CUISINE ZONE";INV_GEN;"Inventaire stock";016139;;0;0;;UN;N
002720;AQE;EXPO;INV_GEN;"Inventaire stock";000351;;;9.84;0;M2;N
002720;AQE;"EXPO STE LUC";INV_GEN;"Inventaire stock";BOX950;;0;0;;UN;N
002720;AQE;"EXPO STE LUC";INV_GEN;"Inventaire stock";015478;;0;0;;UN;N
002720;AQE;"EXT 01";INV_GEN;"Inventaire stock";017264;;0;0;;UN;N
002720;AQE;"ME 01";INV_GEN;"Inventaire stock";008759;;0;0;;UN;N
002720;AQE;"ME 01";INV_GEN;"Inventaire stock";008794;;0;0;;UN;N
002720;AQE;"ME 01";INV_GEN;"Inventaire stock";008758;;0;0;;UN;N
002720;AQE;"ME 01";INV_GEN;"Inventaire stock";001855;;0;0;;UN;N
002720;AQE;"ME 01";INV_GEN;"Inventaire stock";017253;;0;0;;UN;N
002720;AQE;"ME 01";INV_GEN;"Inventaire stock";004750;;0;0;;UN;N
002720;AQE;"ME 01";INV_GEN;"Inventaire stock";007879;;0;0;;UN;N
002720;AQE;"ME 01";INV_GEN;"Inventaire stock";001864;;0;0;;UN;N
002720;AQE;"ME 01";INV_GEN;"Inventaire stock";008161;;0;0;;UN;N
002720;AQE;"ME 01";INV_GEN;"Inventaire stock";017257;;0;0;;UN;N
002720;AQE;"ME 01";INV_GEN;"Inventaire stock";017262;;0;0;;UN;N
002720;AQE;"ME 01";INV_GEN;"Inventaire stock";007461;;0;0;;UN;N
002720;AQE;"ME 01";INV_GEN;"Inventaire stock";012175;;0;0;;UNITE;N
002720;AQE;"ME 01";INV_GEN;"Inventaire stock";005870;;0;0;;UN;N
002720;AQE;"ME 01";INV_GEN;"Inventaire stock";006533;;0;0;;UN;N
002720;AQE;"ME 01";INV_GEN;"Inventaire stock";008162;;0;0;;UN;N
002720;AQE;"ME 01";INV_GEN;"Inventaire stock";012174;;0;0;;UNITE;N
002720;AQE;"ME 01";INV_GEN;"Inventaire stock";007380;;0;0;;UN;N
002720;AQE;"ME 01";INV_GEN;"Inventaire stock";007407;;0;0;;UN;N
002720;AQE;"ME 01";INV_GEN;"Inventaire stock";017261;;0;0;;UN;N
002720;AQE;"ME 01";INV_GEN;"Inventaire stock";012355;;0;0;;UN;N
002720;AQE;"ME 01";INV_GEN;"Inventaire stock";008796;;0;0;;UN;N
002720;AQE;"ME 01";INV_GEN;"Inventaire stock";017258;;0;0;;UN;N
002720;AQE;"ME 01";INV_GEN;"Inventaire stock";007381;;0;0;;UN;N
002720;AQE;"ME 01";INV_GEN;"Inventaire stock";017254;;0;0;;UN;N
002720;AQE;"ME 01";INV_GEN;"Inventaire stock";005868;;0;0;;UN;N
002720;AQE;"ME 01";INV_GEN;"Inventaire stock";008795;;0;0;;UN;N
002720;AQE;"ME 01";INV_GEN;"Inventaire stock";017260;;0;0;;UN;N
002720;AQE;"ME 01";INV_GEN;"Inventaire stock";008163;;0;0;;UNITE;N
002720;AQE;"ME 01";INV_GEN;"Inventaire stock";008495;;0;0;;UN;N
002720;AQE;"ME 01";INV_GEN;"Inventaire stock";008494;;0;0;;UN;N
002720;AQE;"ME 01";INV_GEN;"Inventaire stock";017259;;0;0;;UN;N
002720;AQE;"ME 01";INV_GEN;"Inventaire stock";019133;;0;0;;UN;N
002720;AQE;"ME 01";INV_GEN;"Inventaire stock";004751;;0;0;;UN;N
