INVNO;INVDP;INVW1;INVID;INLIE;INVAR;HILOT;INVSN;INVSC;INVQS;INVSU;INVL1
002697;AQA;"Q1 01 A01 01";INV_GEN;"Inventaire stock";OR00615067;;;1000;0;PCES;N
002697;AQA;"Q1 01 A01 02";INV_GEN;"Inventaire stock";OR00615068;;;1000;0;PCES;N
002697;AQA;"Q1 01 A01 03";INV_GEN;"Inventaire stock";OR00615069;;;1000;0;PCES;N
002697;AQA;"Q1 01 A01 04";INV_GEN;"Inventaire stock";OR00615070;;;1000;0;PCES;N
002697;AQA;"Q1 01 A01 05";INV_GEN;"Inventaire stock";OR00615071;;;1000;0;PCES;N
002697;AQA;"Q1 01 A01 06";INV_GEN;"Inventaire stock";OR00615080;;;500;0;PCES;N
002697;AQA;"Q1 01 A01 07";INV_GEN;"Inventaire stock";OR00615081;;;500;0;PCES;N
002697;AQA;"Q1 01 A01 08";INV_GEN;"Inventaire stock";OR00615082;;;1000;0;PCES;N
002697;AQA;"Q1 01 A02 01";INV_GEN;"Inventaire stock";OR00615083;;;1000;0;PCES;N
002697;AQA;"Q1 01 A02 02";INV_GEN;"Inventaire stock";OR00615084;;;500;0;PCES;N
002697;AQA;"Q1 01 A02 03";INV_GEN;"Inventaire stock";OR00615095;;;500;0;PCES;N
002697;AQA;"Q1 01 A02 04";INV_GEN;"Inventaire stock";OR00615096;;;500;0;PCES;N
002697;AQA;"Q1 01 A02 05";INV_GEN;"Inventaire stock";OR00615097;;;500;0;PCES;N
002697;AQA;"Q1 01 A03 01";INV_GEN;"Inventaire stock";OR00615098;;;200;0;PCES;N
002697;AQA;"Q1 01 A03 02";INV_GEN;"Inventaire stock";OR00615099;;;500;0;PCES;N
002697;AQA;"Q1 01 A03 03";INV_GEN;"Inventaire stock";OR00615100;;;500;0;PCES;N
002697;AQA;"Q1 01 A03 04";INV_GEN;"Inventaire stock";OR00615101;;;500;0;PCES;N
002697;AQA;"Q1 01 A03 05";INV_GEN;"Inventaire stock";OR00615108;;;200;0;PCES;N
002697;AQA;"Q1 01 A03 06";INV_GEN;"Inventaire stock";OR00615109;;;200;0;PCES;N
002697;AQA;"Q1 01 A03 07";INV_GEN;"Inventaire stock";OR00615110;;;200;0;PCES;N
002697;AQA;"Q1 01 B01 01";INV_GEN;"Inventaire stock";OR02012981;;;500;0;PCES;N
002697;AQA;"Q1 01 B01 02";INV_GEN;"Inventaire stock";OR02012982;;;200;0;PCES;N
002697;AQA;"Q1 01 B01 03";INV_GEN;"Inventaire stock";OR02012983;;;200;0;PCES;N
002697;AQA;"Q1 01 B02 01";INV_GEN;"Inventaire stock";OR02012984;;;200;0;PCES;N
002697;AQA;"Q1 01 B02 02";INV_GEN;"Inventaire stock";OR02012985;;;200;0;PCES;N
002697;AQA;"Q1 01 B03 01";INV_GEN;"Inventaire stock";OR02012986;;;200;0;PCES;N
002697;AQA;"Q1 01 B03 02";INV_GEN;"Inventaire stock";OR02012988;;;200;0;PCES;N
002697;AQA;"Q1 01 B03 03";INV_GEN;"Inventaire stock";OR00615123;;;200;0;PCES;N
002697;AQA;"Q1 01 B03 04";INV_GEN;"Inventaire stock";OR00615125;;;200;0;PCES;N
002697;AQA;"Q1 01 C01 01";INV_GEN;"Inventaire stock";OR00615126;;;100;0;PCES;N
002697;AQA;"Q1 01 C01 02";INV_GEN;"Inventaire stock";OR00615127;;;100;0;PCES;N
002697;AQA;"Q1 01 C02 01";INV_GEN;"Inventaire stock";OR00615128;;;100;0;PCES;N
002697;AQA;"Q1 01 C02 02";INV_GEN;"Inventaire stock";OR00615129;;;100;0;PCES;N
002697;AQA;"Q1 01 C03 01";INV_GEN;"Inventaire stock";OR00615130;;;100;0;PCES;N
002697;AQA;"Q1 01 C03 02";INV_GEN;"Inventaire stock";OR00615131;;;100;0;PCES;N
002697;AQA;"Q1 01 D01 01";INV_GEN;"Inventaire stock";OR00615132;;;100;0;PCES;N
002697;AQA;"Q1 01 D01 02";INV_GEN;"Inventaire stock";OR00615133;;;100;0;PCES;N
002697;AQA;"Q1 01 D01 03";INV_GEN;"Inventaire stock";OR00615134;;;100;0;PCES;N
002697;AQA;"Q1 01 D01 04";INV_GEN;"Inventaire stock";OR00615135;;;100;0;PCES;N
002697;AQA;"Q1 01 D02 01";INV_GEN;"Inventaire stock";OR03716517;;;50;0;PCES;N
002697;AQA;"Q1 01 D02 02";INV_GEN;"Inventaire stock";OR03716519;;;50;0;PCES;N
002697;AQA;"Q1 01 D02 03";INV_GEN;"Inventaire stock";OR03716521;;;50;0;PCES;N
002697;AQA;"Q1 01 D02 04";INV_GEN;"Inventaire stock";OR03716522;;;50;0;PCES;N
002697;AQA;"Q1 01 D03 01";INV_GEN;"Inventaire stock";OR03716523;;;50;0;PCES;N
002697;AQA;"Q1 01 D03 02";INV_GEN;"Inventaire stock";OR03716524;;;50;0;PCES;N
002697;AQA;"Q1 01 D03 03";INV_GEN;"Inventaire stock";OR03716525;;;50;0;PCES;N
002697;AQA;"Q1 01 D03 04";INV_GEN;"Inventaire stock";OR00620048;;;50;0;PCES;N
002697;AQA;"Q1 01 D03 05";INV_GEN;"Inventaire stock";OR03716527;;;50;0;PCES;N
