INVNO;INVDP;INVW1;INVID;INLIE;INVAR;HILOT;INVSN;INVSC;INVQS;INVSU;INVL1
002612;AQA;"A1 02 A05 01";INV_GEN;"Inventaire test";51310200;;0;0;0;UN;N
002612;AQA;"A1 02 A06 01";INV_GEN;"Inventaire test";012127;;0;25;0;UN;N
002612;AQA;"A1 02 A07 01";INV_GEN;"Inventaire test";50830008;;0;0;0;UN;N
002612;AQA;"A1 02 A08 01";INV_GEN;"Inventaire test";50830015;;0;0;0;UN;N
002612;AQA;"A1 02 A09 01";INV_GEN;"Inventaire test";50830020;;0;0;0;UN;N
002612;AQA;"A1 02 A10 01";INV_GEN;"Inventaire test";50850050;;0;0;0;UN;N
002612;AQA;"A1 02 A11 01";INV_GEN;"Inventaire test";50850055;;0;0;0;UN;N
002612;AQA;"A1 02 A12 01";INV_GEN;"Inventaire test";004926;;0;0;0;UN;N
002612;AQA;"A1 02 A13 01";INV_GEN;"Inventaire test";013096;;0;4;0;UN;N
002612;AQA;"A1 02 A14 01";INV_GEN;"Inventaire test";013422;;0;6;0;UN;N
002612;AQA;"A1 03 A01 01";INV_GEN;"Inventaire test";ORC0034899;;0;0;0;UN;N
002612;AQA;"A1 03 B02 01";INV_GEN;"Inventaire test";11020025;;0;0;0;UN;N
002612;AQA;"A1 03 B03 01";INV_GEN;"Inventaire test";020583;;0;1;0;UN;N
002612;AQA;"A1 03 B06 01";INV_GEN;"Inventaire test";007643;;0;1;0;UN;N
002612;AQA;"A1 03 C02 01";INV_GEN;"Inventaire test";ORC0034893;;0;0;0;UN;N
002612;AQA;"A1 03 A02 01";INV_GEN;"Inventaire test";ORC0034893;;0;0;0;UN;N
002612;AQA;"A1 03 A02 02";INV_GEN;"Inventaire test";ORC0034893;;0;0;0;UN;N
002612;AQA;"A1 03 C02 02";INV_GEN;"Inventaire test";ORC0034894;;0;0;0;UN;N
002612;AQA;"A1 03 A03 01";INV_GEN;"Inventaire test";ORC0034894;;0;0;0;UN;N
002612;AQA;"A1 03 C03 01";INV_GEN;"Inventaire test";ORC0034895;;0;0;0;UN;N
002612;AQA;"A1 03 C03 02";INV_GEN;"Inventaire test";ORC0034901;;0;0;0;UN;N
002612;AQA;"A1 03 C06 01";INV_GEN;"Inventaire test";012632;;0;0;0;UN;N
002612;AQA;"A1 03 C07 01";INV_GEN;"Inventaire test";012116;;0;0;0;UN;N
002612;AQA;"A1 03 C07 02";INV_GEN;"Inventaire test";012117;;0;0;0;UN;N
002612;AQA;"A1 03 C08 01";INV_GEN;"Inventaire test";012118;;0;0;0;UN;N
002612;AQA;"A1 03 C08 02";INV_GEN;"Inventaire test";012119;;0;0;0;UN;N
002612;AQA;"A1 03 C09 01";INV_GEN;"Inventaire test";012120;;0;0;0;UN;N
002612;AQA;"A1 08 A04 02";INV_GEN;"Inventaire test";012120;;0;0;0;UN;N
